original_path,output_path,articleurl,status
frozen-shoulder.html,how-to-take-care-of-frozen-shoulder.html,yes,merged
health-hand.html,how-to-take-care-of-hands.html,yes,merged
health-knee.html,how-to-take-care-of-knees.html,yes,merged
health-leg.html,how-to-take-care-of-legs.html,yes,merged
health-low-back.html,health-low-back.html,yes,merged
health-neck.html,how-to-take-care-of-neck.html,yes,merged
health-shoulder.html,how-to-take-care-of-shoulders.html,yes,merged
health-upper-back.html,how-to-take-care-upper-back.html,yes,merged
lower-back.html,index.html,yes,merged
muscle-care-after-50.html,how-to-take-care-of-muscles-after-50.html,yes,merged
food\diet-compass.html,food\diet-compass.html,yes,merged
related-body-parts\health-hand-info.html,related-body-parts\health-hand-info.html,yes,merged
related-body-parts\health-knee-info.html,related-body-parts\health-knee-info.html,yes,merged
related-body-parts\health-leg-info.html,related-body-parts\health-leg-info.html,yes,merged
related-body-parts\health-neck-info.html,related-body-parts\health-neck-info.html,yes,merged
related-body-parts\health-shoulder-info.html,related-body-parts\health-shoulder-info.html,yes,merged
related-body-parts\health-upper-back-info.html,related-body-parts\health-upper-back-info.html,yes,merged
taking-care-of-whole-body\cardio-exercise-for-heart.html,taking-care-of-whole-body\cardio-exercise-for-heart.html,yes,merged
taking-care-of-whole-body\gumcare.html,taking-care-of-whole-body\gumcare.html,yes,merged
taking-care-of-whole-body\health-eye-info.html,taking-care-of-whole-body\health-eye-info.html,yes,merged
taking-care-of-whole-body\health-kidney.html,taking-care-of-whole-body\health-kidney.html,yes,merged
taking-care-of-whole-body\heart-health.html,taking-care-of-whole-body\heart-health.html,yes,merged
